event_type,event_cause,description,requires_road_closure,priority,latitude,longitude,address,corridor,zone,police_station,description_missing,Day_of_Week
planned,public_event,"Cricket Match at M Chinnaswamy Satdium, [LOCATION].",False,High,12.97883573,77.59953728,"ಲಿಂಕ್ ರಸ್ತೆ, ಅಶೋಕನಗರ, ಬೆಂಗಳೂರು ಮಧ್ಯ ನಗರ ನಿಗಮ, Bengaluru, ಬೆಂಗಳೂರು ಉತ್ತರ, ಬೆಂಗಳೂರು ನಗರ, Karnataka, 560001, India",CBD 2,Central Zone 2,Cubbon Park,False,Tuesday
planned,construction,[LOCATION] works going on sir,False,High,12.946469,77.6986754,"Outer Ring Road, Sumadhura Platinum Square, Kadubisanahalli, Bengaluru, Karnataka. Pin-560037 (India)",ORR East 1,East Zone 1,HAL Old Airport,False,Tuesday
planned,construction,,True,Low,13.0085677,77.6131497,"Shampura Main Road, AK Colony, Devarajeevana Halli, Bengaluru, Karnataka. Pin-560045 (India)",Non-corridor,North Zone 1,K.G. Halli,True,Tuesday
planned,construction,[LOCATION] towards marathhalli and karthiknagara towards mahadevpura traffic movement will be slow due to metrostation work,False,High,12.9694079,77.7006346,"Outer Ring Road, Karthik Nagar, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",ORR East 2,East Zone 1,HAL Old Airport,False,Tuesday
planned,construction,karthiknagara towards [LOCATION] and karthiknagara towards marathhalli traffic movement will be slow due to [LOCATION] station piller work,False,High,12.969418,77.7006526,"Outer Ring Road, Karthik Nagar, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",ORR East 2,East Zone 1,HAL Old Airport,False,Thursday
unplanned,construction,keb cable work @anand [PERSON],False,High,13.0331905,77.5901915,"Anand Nagar Main Road, AGS Layout, Anand Nagar, Hebbal, Bengaluru, Karnataka. Pin-560024 (India)",Bellary Road 1,North Zone 1,Hebbala,False,Thursday
unplanned,construction,"Manjunathanagara to widea upperramp nhai road work progress ,vehicle oneside movement ,towards city",False,Low,13.0501731,77.4947759,"Mumbai Bengaluru Highway, Pride Altius, Bagalagunte, Bengaluru, Karnataka. Pin-560073 (India)",Non-corridor,,Chikkabanavara,False,Wednesday
planned,construction,[LOCATION] towards marathhalli and karthiknagara towards mahadevpura traffic movement will be slow due to metrostation work,False,High,12.9693576,77.7006406,"Outer Ring Road, Karthik Nagar, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",ORR East 2,East Zone 1,HAL Old Airport,False,Wednesday
planned,construction,Off road bmtc bus,False,High,12.9762232,77.6016656,"St Marks Road, Anil Kumble Chowk, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)",Old Madras Road,Central Zone 2,Cubbon Park,False,Wednesday
planned,construction,"ನಮಸ್ತೆ ಸರ್, ಟೊಯೋಟಾ ಶೋರೂಮ್ ಹತ್ತಿರ ಟುವರ್ಡ್ಸ್ ಬೆಂಗಳೂರು ಸಿಟಿ ಕಡೆ ರೋಡ್  ಕೆಲಸ ಮಾಡುತ್ತಿದ್ದರಿಂದ ಟ್ರಾಫಿಕ್ ಮೂಮೆಂಟ್ಸ್ ಸ್ಲೋ  ಆಗಿರುತ್ತದೆ",False,High,13.1511992,77.620242,"Bengaluru Bellary Road, Hunsemarrenhalli Junction, Hunasamaranahalli, Bengaluru, Karnataka. Pin-562157 (India)",Bellary Road 2,,Chikkajala,False,Thursday
planned,construction,k ride work,False,Low,13.07835,77.502205,"Hesaraghatta Main Road, Sri M Vishveshwaraiah Layout, Chikkabanavara, Bengaluru, Karnataka. Pin-560090 (India)",Non-corridor,,Chikkabanavara,False,Friday
unplanned,construction,Road work,False,High,13.16120295,77.62691818,"Vidya Nagar Cross Road, Vidyanagar Junction, Chikkajala, Bengaluru, Karnataka. Pin-562157 (India)",Bellary Road 2,,Chikkajala,False,Thursday
unplanned,construction,"ನಮಸ್ತೆ ಸರ್, ಹೆಣ್ಣೂರ್ ಬಾಗ್ಲೂರ್ ಮುಖ್ಯ ರಸ್ತೆ ಗೆದ್ದಲಹಳ್ಳಿ ಸಿಮೆಂಟ್ ರಸ್ತೆ ಮಾಡುತ್ತಿರುವುದರಿಂದ ವಡ್ದರ್ಪಾಳ್ಯ ಕಡೆಯಿಂದ ಗೆದ್ದಲಹಳ್ಳಿ ಹೋಗುವ ಕಡೆಗೆ ನಿಧಾನಗತಿಯಲ್ಲಿರುತ್ತದೆ ಸಂಚಾರ ನಮಸ್ತೆ ಸರ್",False,Low,13.0450698,77.6440587,"Hennur Main Road, KBM Shariff Layout, Geddalahalli, Bengaluru, Karnataka. Pin-560077 (India)",Non-corridor,North Zone 1,Hennuru,False,Friday
unplanned,construction,Road maintenance vehicle parking sir,False,Low,13.0522674,77.4879449,"Mumbai Bengaluru Highway, Prestige Jindal City, Chikkabidarakallu, Bengaluru, Karnataka. Pin-560073 (India)",Non-corridor,West Zone 1,No Police Station,False,Thursday
planned,construction,ರಸ್ತೆ ಕಾಮಗಾರಿ ಸಲುವಾಗಿ ಮಾರ್ಕೆಟ್ ಸರ್ಕಲ ಕಡೆ ಹೋಗುವ flyover ಮುಚ್ಚಲಾಗಿರುತ್ತದೆ,True,High,12.965034,77.5747048,"Mysore Road, Chanda Nagar, Sultanpete, Bengaluru, Karnataka. Pin-560053 (India)",Mysore Road,Central Zone 2,City Market,False,Thursday
planned,construction,[LOCATION] towards marathhalli and karthiknagara towards mahadevpura traffic movement will be slow due to metrostation work,False,High,12.9694199,77.7006686,"Outer Ring Road, Karthik Nagar, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",ORR East 2,East Zone 1,HAL Old Airport,False,Thursday
planned,vip_movement,LGV ವಾಹನದ ಗಲಿ ಪಂಚರಾಗಿದ್ದು ಅದನ್ನು ಸೂಲ್ಪ ಸಮಯದಲ್ಲಿ ಬದಲಾವಣೆ ಮಾಡಿಕೊಂಡು ಹೋಗುತ್ತೇವೆ ಎಂದು ತಿಳಿಸಿರುತ್ತಾರೆ ಸರ್,False,High,12.9643399,77.5855341,"Sri Narsimha Rao Road, Town Hall Junction, Nagartapete, Bengaluru, Karnataka. Pin-560002 (India)",Mysore Road,Central Zone 2,Halasuru Gate,False,Thursday
planned,construction,Towards Mysore,True,Low,12.860655,77.4311029,"Bangalore Mysore Expressway, Kempegowda Layout, Kaniminike, Bengaluru, Karnataka. Pin-560074 (India)",Non-corridor,West Zone 1,Kengeri,False,Thursday
unplanned,construction,ಬಿಬಿಎಂಪಿಯವರು ಕಾಮಗಾರಿಯನ್ನು ಮಾಡಿರುವುದರಿಂದ ಸಂಚಾರಕೆ [LOCATION] ಸರ್,False,High,12.92001766,77.66562279,"Sarjapura Main Road, Iblur Junction, Bellandur, Bengaluru, Karnataka. Pin-560102 (India)",ORR East 1,South Zone 2,Bellandur,False,Friday
unplanned,construction,"ಸರ್ ನಮಸ್ತೆ ಸರ್, ನ್ಯಾಷನಲ್ ರೋಡ್ ಕ್ಲೋಸ್ ಮಾಡಿ ನಂಬರ್ ವರ್ಕ್ ಕೆಲಸ ಮಾಡುತ್ತಿರುತ್ತಾರೆ ಆದದರಿಂದ ಸಂಚಾರ ತುಂಬಾ ದಟ್ಟಣೆಯಾಗಿರುತ್ತದೆ ಸರ್",True,Low,13.07838,77.427995,"NH 48, Defence Layout, Maruthi Nagar, Arasinakunte, Karnataka. Pin-562123 (India)",Non-corridor,West Zone 1,No Police Station,False,Friday
planned,construction,[LOCATION] towards marathhalli and karthiknagara towards mahadevpura traffic movement will be slow due to metrostation work,False,High,12.9694578,77.7006343,"Outer Ring Road, Karthik Nagar, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",ORR East 2,East Zone 1,HAL Old Airport,False,Friday
unplanned,construction,[PERSON] working in progress traffic normal,False,High,12.9692805,77.7006521,"Outer Ring Road, Karthik Nagar, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",ORR East 2,East Zone 1,HAL Old Airport,False,Friday
planned,construction,road closue,True,Low,12.9712598,77.597572,"Grant Road, Walton Road Circle, Shanthala Nagar, Bengaluru, Karnataka. Pin-560001 (India)",Non-corridor,Central Zone 2,Cubbon Park,False,Friday
unplanned,procession,may day procession  and citu procession sir,False,Low,13.0081323,77.6928683,"MBT Road, Devasandra Junction, KR Puram, Bengaluru, Karnataka. Pin-560036 (India)",Non-corridor,,K.R. Pura,False,Friday
planned,construction,Work in progress by NHAI sir,False,High,13.049104,77.5932567,"Kempapura Main Road, Esteem Mall, Hebbal Kempapura, Bengaluru, Karnataka. Pin-560024 (India)",Bellary Road 1,North Zone 1,Hebbala,False,Saturday
unplanned,protest,ಸೌಂಡು ಮಗು ಡೆತ್ ಆಗಿರೋದ್ರಿಂದ ಪಬ್ಲಿಕ್ ರೋಡ್ ಬ್ಲಾಕ್ [PERSON] ಮಾಡ್ತಾ ಇದ್ದಾರೆ ಸರ್,True,Low,13.0483496,77.6454296,"Hennur Main Road, Geddalahalli, Bengaluru, Karnataka. Pin-560077 (India)",Non-corridor,North Zone 1,Hennuru,False,Saturday
planned,construction,BWSSB & Cable work is going near [LOCATION] service road towards [LOCATION]. service road is closed towards [LOCATION] from [LOCATION],True,High,13.0418551,77.6138337,"MBT Road, Govind Pura, Nagavara, Bengaluru, Karnataka. Pin-560045 (India)",ORR North 1,North Zone 1,Hennuru,False,Saturday
planned,construction,white tapping work at Geddalahalli towards bagalur and airport back sir,False,Low,13.0469097,77.6445369,"Hennur Main Road, Mantri Splendor, Hiremath Layout, Geddalahalli, Bengaluru, Karnataka. Pin-560077 (India)",Non-corridor,North Zone 1,Hennuru,False,Saturday
planned,public_event,[PERSON] and Palakki Uthsava at Dodakkanahalli,True,Low,12.90731581,77.6955824,"Gear School road, ದೊಡ್ಡಕನ್ನಲ್ಲಿ, ಗುಂಜೂರು, ಬೆಂಗಳೂರು ಪೂರ್ವ ನಗರ ನಿಗಮ, Bengaluru, ಬೆಂಗಳೂರು ಪೂರ್ವ, ಬೆಂಗಳೂರು ನಗರ, Karnataka, 560035, India",Non-corridor,South Zone 2,Bellandur,False,Sunday
planned,public_event,"Sri.Tirumalaswmay
Brahma Rathotsava &
Night [PERSON]",True,Low,12.90730454,77.69558165,"Gear School road, Doddakannalli, Gunjur, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560035, India",Non-corridor,South Zone 2,Bellandur,False,Sunday
planned,public_event,IPL opening Ceremony 2026- RCB vs SRH at [LOCATION].,False,High,12.97878153,77.59976254,"ಕ್ವಿನ್ಸ್ ರಸ್ತೆ, ಶಾಂತಲಾ ನಗರ, ಅಶೋಕನಗರ, ಬೆಂಗಳೂರು ಮಧ್ಯ ನಗರ ನಿಗಮ, Bengaluru, ಬೆಂಗಳೂರು ಉತ್ತರ, ಬೆಂಗಳೂರು ನಗರ, Karnataka, 560001, India",CBD 2,Central Zone 2,Cubbon Park,False,Tuesday
planned,procession,Call me [PHONE] [LOCATION] village car festival,True,Low,12.9299316,77.6761985,"Ambalipura Main Road, Sonestaa Woods, Bellandur Village, Bellandur, Bengaluru, Karnataka. Pin-560103 (India)",Non-corridor,South Zone 2,Bellandur,False,Monday
planned,procession,[PERSON] junction to bhoopasandra bus stand traffic Slow moment sir,False,Low,13.0271353,77.5796689,"Dr Rajgopal Road, MET Layout, RMV Stage 2, Bengaluru, Karnataka. Pin-560094 (India)",Non-corridor,North Zone 1,Kodigehalli,False,Monday
planned,construction,"Kundalahalli towards doddanekundi main road,and [PERSON] police station towards [LOCATION] service road closed regarding metro work sir",True,High,12.9567617,77.7015267,"HAL Airport Road, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",Varthur Road,East Zone 1,HAL Old Airport,False,Monday
planned,public_event,[PERSON] and Palakki Uthsava at Bellandur,True,High,12.92609339,77.67623685,"ಬೆಳ್ಳಂದೂರು, ಬೆಂಗಳೂರು ಪೂರ್ವ ನಗರ ನಿಗಮ, Bengaluru, ಬೆಂಗಳೂರು ಪೂರ್ವ, ಬೆಂಗಳೂರು ನಗರ, Karnataka, 560103, India",ORR East 1,South Zone 2,Bellandur,False,Sunday
unplanned,construction,ಮೆಟ್ರೋ ವರ್ಕ್ ಮಾಡ್ತಾಯಿದರೆ ಸರ್ ಟ್ರಾಫಿಕ್ ಸ್ಲೋ ಮೊಮೆಂಟ್ ಸರ್,False,High,13.0381636,77.626299,"17th Main Road, Block 5 Stage 1, HBR Layout, Bengaluru, Karnataka. Pin-560043 (India)",ORR North 1,North Zone 1,Hennuru,False,Monday
